	site_number	state	runway_id	runway_length	runway_width	runway_surface_type_cond	runway_surface_treatment	edge_lights_intensity	base_end_id	base_true_alignment	base_ils_type	base_right_pattern	base_markings_type	base_markings_cond	base_latitude	base_latitude_s	base_longitude	base_longitude_s	base_elevation	base_crossing_height	base_glide_path_angle	base_displaced_length	base_vasi	base_centerline_lights	base_touchdown_lights	base_object	base_object_height	reciprocal_end_id	rcpr_true_alignment	rcpr_ils_type	rcpr_right_pattern	rcpr_markings_type	rcpr_markings_cond	rcpr_latitude	rcpr_latitude_s	rcpr_longitude	rcpr_longitude_s	rcpr_elevation	rcpr_crossing_height	rcpr_glide_path_angle	rcpr_displaced_length	rcpr_vasi	rcpr_centerline_lights	rcpr_touchdown_lights	rcpr_object	rcpr_object_height	runway_capacity_lbs_sw	runway_capacity_lbs_dw	runway_capacity_lbs_dt	runway_capacity_lbs_ddt	base_tora	base_toda	base_asda	base_lda	rcpr_tora	rcpr_toda	rcpr_asda	rcpr_lda
7307	07148.*A	KY	'11/29	2000	100	TURF-G		LOW	11			False																29			False																											
7308	07148.01*A	KY	'10/28	3200	75	ASPH			10																			28																														
7309	07148.02*H	KY	'H1	50	50	CONC		PERI	H1						36-42-00.1600N	132120.1600N	086-34-39.8100W	311679.8100W	723.0																																							
7310	07148.04*A	KY	'07/25	1800	55	TURF			07													500.0				PLINE	25.0	25																														
7311	07151.4*A	KY	'09/27	4001	75	ASPH-G		HIGH	09	91.0		False	NPI	F	36-31-32.4924N	131492.4924N	088-55-28.7410W	320128.7410W	374.0	35.0	3.0		P2L			TREES	76.0	27	271.0		False	NPI	F	36-31-32.0890N	131492.0890N	088-54-39.7260W	320079.7260W	403.4	28.0	3.0	160.0	P2L			ROAD	15.0	12.0				4001.0	4001.0	3841.0	3841.0	4001.0	4001.0	4001.0	3841.0
7312	07151.41*H	KY	'H1	40	40	CONC		PERI	H1						36-31-07.3800N	131467.3800N	088-53-49.5100W	320029.5100W	410.0							TOWER																																
7313	07152.1*A	KY	'03/21	5498	100	ASPH-G		HIGH	03	26.0			NPI	G	38-13-39.4698N	137619.4698N	084-26-19.7792W	303979.7792W	930.9	34.0	3.0		P4L			TREE	22.0	21	206.0			NPI	G	38-14-28.4546N	137668.4546N	084-25-49.9411W	303949.9411W	947.3	30.0	3.0		P4L					30.0											
7314	07157.*A	KY	'08/26	1700	50	TURF			08																			26																														
7315	07157.1*A	KY	'08/26	5302	100	ASPH-F		MED	08	71.0	SDF	False	NPI	P	37-01-46.0301N	133306.0301N	085-57-44.5005W	309464.5005W	703.6	29.0	3.0		P2L			TREES	117.0	26	251.0		False	NPI	P	37-02-02.7579N	133322.7579N	085-56-42.5390W	309402.5390W	716.0	29.0	3.5	301.0	P2L			ROAD	24.0	30.0				5301.0	5301.0	5000.0	5000.0	5301.0	5301.0	5301.0	5000.0
7316	07157.12*H	KY	'H1	42	42	CONC			H1						37-00-42.5000N	133242.5000N	085-54-17.3000W	309257.3000W	910.0																																							
7317	07168.*H	KY	'H1	24	24	CONC			H1						37-14-35.7600N	134075.7600N	085-29-34.8700W	307774.8700W	625.0																																							
7318	07170.*A	KY	'06/24	4999	75	ASPH-G		MED	06	56.0		False	NPI	G	37-13-20.5492N	134000.5492N	087-09-48.5644W	313788.5644W	414.8	40.0	4.0		P2L			TREES	73.0	24	236.0		False	NPI	G	37-13-48.3298N	134028.3298N	087-08-57.4443W	313737.4443W	428.2	37.0	4.5	400.0	P2L			ROAD	62.0	15.0	30.0							5000.0	5000.0	5000.0	4600.0
7319	07170.13*A	WI	'18/36	2200	100	TURF-DIRT-G			18																	TREES	40.0	36																	TREES	45.0												
7320	07180.*A	KY	'18/36	1300	100	TURF			18																	PLINE	22.0	36																	FENCE	4.0												
7321	07182.4*H	KY	'H1	69	69	CONC		PERI	H1					G	37-45-57.7000N	135957.7000N	086-26-22.9300W	311182.9300W	730.0							PLINE	40.0																															
7322	07182.41*H	KY	'H1	40	40	CONC		PERI	H1						37-45-42.8700N	135942.8700N	086-27-09.6600W	311229.6600W	691.0																																							
7323	07182.5*A	KY	'10/28	4000	75	CONC-G		MED	10			False	NPI	F	37-47-07.6574N	136027.6574N	086-26-53.2950W	311213.2950W	714.2	34.0	3.1		P2L					28			False	NPI	F	37-47-02.9624N	136022.9624N	086-26-03.8212W	311163.8212W	732.1	27.0	3.0		P2L																
7324	07183.1*A	KY	'08/26	3460	75	ASPH-F		MED	08	76.0		False	BSC	G	36-51-29.5056N	132689.5056N	083-21-51.1778W	300111.1778W	1524.0	26.0	5.0		V2L			TREES	205.0	26	256.0		False	BSC	G	36-51-37.6795N	132697.6795N	083-21-09.8350W	300069.8350W	1564.2							TREES	75.0	24.0											
7325	07183.11*H	KY	'H1	40	40	CONC		PERI	H1						36-48-32.0000N	132512.0000N	083-18-54.0000W	299934.0000W	1407.0																																							
