	site_number	state	runway_id	runway_length	runway_width	runway_surface_type_cond	runway_surface_treatment	edge_lights_intensity	base_end_id	base_true_alignment	base_ils_type	base_right_pattern	base_markings_type	base_markings_cond	base_latitude	base_latitude_s	base_longitude	base_longitude_s	base_elevation	base_crossing_height	base_glide_path_angle	base_displaced_length	base_vasi	base_centerline_lights	base_touchdown_lights	base_object	base_object_height	reciprocal_end_id	rcpr_true_alignment	rcpr_ils_type	rcpr_right_pattern	rcpr_markings_type	rcpr_markings_cond	rcpr_latitude	rcpr_latitude_s	rcpr_longitude	rcpr_longitude_s	rcpr_elevation	rcpr_crossing_height	rcpr_glide_path_angle	rcpr_displaced_length	rcpr_vasi	rcpr_centerline_lights	rcpr_touchdown_lights	rcpr_object	rcpr_object_height	runway_capacity_lbs_sw	runway_capacity_lbs_dw	runway_capacity_lbs_dt	runway_capacity_lbs_ddt	base_tora	base_toda	base_asda	base_lda	rcpr_tora	rcpr_toda	rcpr_asda	rcpr_lda
11314	12540.*A	MT	'10/28	2140	130	TURF-G			10	126.0		False			48-18-06.9899N	173886.9899N	112-15-22.2129W	404122.2129W	3826.0							FENCE	10.0	28	306.0		True			48-17-54.6387N	173874.6387N	112-14-56.5307W	404096.5307W	3826.0							TREES	24.0												
11315	12546.*H	MT	'H1	100	60	ASPH-TURF			H1																																																	
11316	12546.01*H	MT	'H1	30	30	CONC			H1																																																	
11317	12546.02*A	MT	'15/33	2500	65	TURF			15																	TREES	60.0	33																	TREES	60.0												
11318	12549.1*A	MT	'01/19	8400	150	ASPH-G	GRVD	HIGH	01	26.0	ILS	False	PIR	G	44-40-41.0107N	160841.0107N	111-07-29.2500W	400049.2500W	6648.8	50.0	3.0		P4L					19	206.0		False	NPI	G	44-41-55.3700N	160915.3700N	111-06-37.8286W	399997.8286W	6634.2	51.0	3.0		V4L					90.0	150.0	280.0		8400.0	8400.0	8400.0	8400.0	8400.0	8400.0	8400.0	8400.0
11319	12549.24*C	MT	'13W/31W	12007	3000	WATER			13W																			31W																														
11320	12552.*A	MT	'12/30	1500	52	TURF			12																	TREES	75.0	30																	TREES	75.0												
11321	12552.1*A	MT	'11/29	2560	75	TURF-G			11			False	NSTD	F								278.0				TREES	102.0	29			False	NSTD	F												TREES	93.0												
11322	12554.*A	MT	'09/27	3800	60	TURF		LOW	09																	PLINE	440.0	27																	PLINE	440.0												
11323	12558.1*A	MT	'01/19	6100	75	ASPH-G		MED	01			False	NPI	G	46-29-13.3800N	167353.3800N	110-55-01.4100W	399301.4100W	5040.1	39.0	3.0		P2L					19			False	NPI	G					5044.9	35.0	3.0	231.0	P2L					16.5											
11324	12558.1*A	MT	'13/31	3200	90	TURF-F			13	143.0		False			46-30-02.6532N	167402.6532N	110-54-52.6210W	399292.6210W	5024.0							ROAD	15.0	31	323.0		False			46-29-37.5217N	167377.5217N	110-54-24.8923W	399264.8923W	5061.0							PLINE	49.0												
11325	12558.12*A	MT	'09/27	2687	75	TURF-F			09			True			46-32-41.0000N	167561.0000N	111-04-31.0000W	399871.0000W	5156.0									27						46-32-37.0000N	167557.0000N	111-03-53.0000W	399833.0000W	5123.0																				
11326	12559.65*H	MT	'H1	40	40	MATS			H1																																																	
11327	12565.3*A	MT	'01/19	3100	78	TURF-P			01			False	NSTD	P														19			False	NSTD	P																									
11328	12565.8*A	MT	'08/26	4400	150	TURF-F			08	90.0		False	NSTD	G	47-33-19.3700N	171199.3700N	109-23-44.2300W	393824.2300W	3354.0									26	270.0		False	NSTD	G	47-33-19.4300N	171199.4300N	109-22-40.0800W	393760.0800W	3279.0									4.0											
11329	12565.81*A	MT	'09/27	2100	60	TURF-F			09																			27																														
11330	12565.82*A	MT	'09/27	1600	60	TURF-P			09																			27																	TREE	17.0												
11331	12565.83*A	MT	'09/27	2200	60	TURF-F			09				NONE															27				NONE																										
11332	12565.84*A	MT	'09/27	1500	60	TURF-G			09																	TREES	29.0	27																														
11333	12565.85*A	MT	'09/27	1800	60	TURF-F			09																			27																	HILL	12.0												
11334	12565.86*A	MT	'09/27	1200	60	TURF-P			09																	TREES	11.0	27																	TREES	13.0												
11335	12565.9*A	MT	'11/29	2998	80	TURF-DIRT-F			11				NSTD	G												HILL	110.0	29				NSTD	G																									
11336	12567.*A	MT	'12/30	3130	75	TURF-G			12				NSTD	G														30				NSTD	G												PLINE	50.0												
11337	12571.*A	MT	'01/19	3445	60	TURF-F			01			False														ROAD	10.0	19			False										520.0				ROAD	17.0												
11338	12572.*A	MT	'02/20	4050	60	TURF-DIRT-G			02	40.0		True			45-45-56.7143N	164756.7143N	112-59-07.8597W	406747.8597W	5830.0									20	220.0					45-46-27.5290N	164787.5290N	112-58-31.4316W	406711.4316W	5779.0																				
11339	12573.*A	MT	'11/29	5091	100	ASPH-G	GRVD	MED	11	120.0		False	NPI	G	48-05-52.7781N	173152.7781N	105-35-02.6702W	380102.6702W	1986.8	28.0	3.0		P2L			ROAD	16.0	29	300.0		False	NPI	G	48-05-27.6729N	173127.6729N	105-33-57.7204W	380037.7204W	1985.3	29.0	3.0		P2L					38.0	50.0										
11340	12573.11*A	MT	'07/25	1800	100	TURF			07																	TOWER	40.0	25																														
11341	12573.12*A	MT	'09/27	2245	50	TURF-DIRT			09																			27																														
11342	12576.*A	MT	'13/31	3800	50	ASPH		MED	13																			31																														
11343	12591.*A	NE	'13/31	5501	75	ASPH-G		HIGH	13	134.0		False	NPI	G	42-35-15.1503N	153315.1503N	099-59-45.1889W	359985.1889W	2586.7	50.0	3.0		V2L					31	314.0		False	NPI	F	42-34-37.1825N	153277.1825N	099-58-52.5910W	359932.5910W	2582.6	52.0	3.0		V2L					24.0	36.0										
11344	12591.*A	NE	'17/35	6824	110	ASPH-G		HIGH	17	179.0		False	PIR	G	42-35-10.0917N	153310.0917N	099-59-47.9516W	359987.9516W	2586.5	46.0	3.0		P4L			BERM	5.0	35	359.0		False	PIR	G	42-34-02.7020N	153242.7020N	099-59-46.8763W	359986.8763W	2588.4	45.0	3.0		P4L			TREES	40.0	30.0	45.0										
11345	12591.*A	NE	'H1	50	50	ASPH-G			H1						42-34-36.7600N	153276.7600N	100-00-01.4200W	360001.4200W	2582.0																																							
11346	12594.1*A	NE	'15/33	3700	60	CONC-E		MED	15	154.0			NPI	G	41-43-59.2654N	150239.2654N	098-03-31.5323W	353011.5323W	1806.2	40.0	3.0		P2L			TREE	58.0	33	334.0			NPI	G	41-43-26.4904N	150206.4904N	098-03-09.9392W	352989.9392W	1778.4	40.0	3.0		P2L			TREE	7.0												
11347	12597.*A	NE	'08/26	6190	75	ASPH-G	PFC	MED	08	89.0		False	NPI	G	42-03-31.2187N	151411.2187N	102-49-12.3481W	370152.3481W	3930.6									26	269.0		False	NPI	G	42-03-31.9479N	151411.9479N	102-47-50.3194W	370070.3194W	3924.9									36.0	48.0	80.0		6190.0	6190.0	6190.0	6190.0	6200.0	6200.0	6200.0	6200.0
11348	12597.*A	NE	'12/30	9203	150	ASPH-E	AFSC	MED	12	134.0		False	NPI	G	42-03-35.9997N	151415.9997N	102-49-06.9376W	370146.9376W	3929.8	39.0	3.0		V4L					30	314.0	ILS/DME	False	PIR	G	42-02-32.5067N	151352.5067N	102-47-39.6676W	370059.6676W	3924.5	53.0	3.0		P4L					36.0	48.0	80.0		9202.0	9202.0	9202.0	9202.0	9202.0	9202.0	9202.0	9202.0
11349	12597.*A	NE	'17/35	6311	75	ASPH-P			17	179.0		False	BSC	F	42-03-33.8833N	151413.8833N	102-47-42.3657W	370062.3657W	3924.6									35	359.0		False	BSC	F	42-02-31.5501N	151351.5501N	102-47-41.3775W	370061.3775W	3925.2									24.0	30.0			6311.0	6311.0	6311.0	6311.0	6311.0	6311.0	6311.0	6311.0
11350	12597.01*H	NE	'H1	30	30	CONC			H1						42-07-01.0800N	151621.0800N	102-52-07.9800W	370327.9800W	3929.0																																							
11351	12598.*A	NE	'17/35	3200	60	CONC-E		MED	17	179.0			NPI	G	40-07-00.6638N	144420.6638N	099-20-47.5340W	357647.5340W	2072.8	40.0	3.0		P2L			ROAD	18.0	35	359.0			NPI	G	40-06-29.0527N	144389.0527N	099-20-46.6237W	357646.6237W	2062.4	40.0	3.0		P2L			POLE	19.0												
11352	12598.1*C	NE	'E/W	6000	200	WATER			E	90.0			NONE		40-03-32.0600N	144212.0600N	099-17-33.5100W	357453.5100W	1946.0									W	270.0			NONE		40-03-31.8500N	144211.8500N	099-16-16.3300W	357376.3300W	1946.0																				
11353	12601.11*A	NE	'17/35	1996	75	TURF-G			17						41-17-45.0000N	148665.0000N	099-22-31.2000W	357751.2000W	2353.0									35						41-17-25.6200N	148645.6200N	099-22-26.3400W	357746.3400W	2363.0																				
11354	12602.*A	NE	'18/36	2600	120	TURF			18						41-33-10.1500N	149590.1500N	100-02-56.4200W	360176.4200W	2811.0									36						41-32-44.4500N	149564.4500N	100-02-56.1400W	360176.1400W	2838.0																				
11355	12608.01*A	NE	'15/33	3000	50	ASPH-G		MED	15	163.0		False	BSC	G	40-20-43.9316N	145243.9316N	099-54-33.6556W	359673.6556W	2273.0									33	343.0		False	BSC	G	40-20-15.5243N	145215.5243N	099-54-22.5421W	359662.5421W	2261.0							ROAD	15.0												
11356	12609.*A	NE	'18/36	3650	100	TURF			18						41-24-20.4600N	149060.4600N	099-05-50.4300W	356750.4300W	2144.0									36						41-23-44.4100N	149024.4100N	099-05-49.9600W	356749.9600W	2136.0																				
11357	12612.*A	NE	'NE/SW	2300	100	TURF			NE			False																SW			False																											
11358	12612.*A	NE	'NW/SE	1800	100	TURF			NW			False																SE			False														PLINE	50.0												
11359	12612.02*A	NE	'E/W	2500	50	TURF			E			False																W			False																											
11360	12612.7*A	NE	'17/35	2000	60	TURF			17				NSTD															35			True	NSTD									150.0				PLINE	55.0												
11361	12612.72*A	NE	'09/27	2300	60	TURF			09						41-01-20.5900N	147680.5900N	096-26-19.3900W	347179.3900W	1095.0									27						41-01-20.1400N	147680.1400N	096-25-49.4200W	347149.4200W	1101.0																				
11362	12614.11*A	NE	'05/23	2970	100	TURF-F			05	60.0		False	NSTD		42-33-38.2400N	153218.2400N	099-02-28.3300W	356548.3300W	2121.8							ROAD	16.0	23	240.0		False	NSTD		42-33-53.0600N	153233.0600N	099-01-54.0760W	356514.0760W	2127.4							ROAD	14.0												
11363	12614.11*A	NE	'11/29	3900	60	CONC-G		MED	11	120.0		False	NPI	G	42-33-55.2981N	153235.2981N	099-02-48.8427W	356568.8427W	2131.3							POLE	29.0	29	300.0		False	NPI	G	42-33-36.2319N	153216.2319N	099-02-03.5591W	356523.5591W	2126.1									12.5											
11364	12621.*A	NE	'16/34	3750	60	CONC-E		MED	16	160.0		False	NPI	G	40-23-27.0765N	145407.0765N	095-47-22.4797W	344842.4797W	924.4					False	False	ROAD	17.0	34	340.0		False	NPI	G	40-22-52.1779N	145372.1779N	095-47-06.2055W	344826.2055W	908.3					False	False	TREES	12.0												
11365	12621.01*H	NE	'H1	30	30	CONC			H1						40-23-27.2200N	145407.2200N	095-51-09.2700W	345069.2700W	1085.0																																							
11366	12623.*H	NE	'H1	40	40	CONC		PERI	H1						40-52-14.9100N	147134.9100N	098-00-42.2600W	352842.2600W	1802.0																																							
11367	12623.1*A	NE	'16/34	4301	75	ASPH-G		MED	16	169.0		False	NPI	G	40-53-59.7147N	147239.7147N	097-59-45.8100W	352785.8100W	1803.2	45.0	3.0		P2L			ROAD	15.0	34	349.0		False	NPI	G	40-53-18.0363N	147198.0363N	097-59-34.9089W	352774.9089W	1796.9	44.0	3.0		P2L			ROAD	15.0	5.0											
11368	12623.6*A	NE	'13/31	3200	125	TURF			13																			31																														
11369	12623.7*A	NE	'E/W	2100	125	CONC-TURF			E																			W																														
11370	12623.9*A	NE	'02/20	2202	120	TURF-F			02	35.0		False			42-34-18.4319N	153258.4319N	099-34-27.6204W	358467.6204W	2343.9							TREE	88.0	20	215.0		False			42-34-36.1936N	153276.1936N	099-34-10.6307W	358450.6307W	2341.9							TREE	40.0												
11371	12623.9*A	NE	'13/31	4698	75	CONC-G		MED	13	141.0		False	NPI	G	42-34-28.7586N	153268.7586N	099-34-25.9613W	358465.9613W	2344.4	40.0	3.0		P2L			ROAD	18.0	31	321.0		False	NPI	G	42-33-52.7917N	153232.7917N	099-33-46.2853W	358426.2853W	2349.4	40.0	3.0		P2L					4.0											
11372	12624.*A	NE	'17/35	2640	100	TURF			17																	PLINE		35																														
11373	12629.*A	NE	'14/32	4401	75	CONC-G		MED	14	143.0		False	NPI	G	40-18-18.1725N	145098.1725N	096-45-34.3007W	348334.3007W	1319.2							TREE	21.0	32	323.0		False	NPI	G	40-17-43.3501N	145063.3501N	096-45-00.2758W	348300.2758W	1311.8							POLE	24.0	35.0	45.5										
11374	12629.*A	NE	'18/36	5602	100	CONC-G		MED	18	180.0		False	NPI	G	40-18-35.3687N	145115.3687N	096-45-13.1095W	348313.1095W	1323.6									36	360.0		False	NPI	G	40-17-40.0156N	145060.0156N	096-45-12.6379W	348312.6379W	1304.6	41.0	3.0		P2L					35.0	45.5			5602.0	5602.0	5602.0	5602.0	5602.0	5602.0	6002.0	5602.0
11375	12638.1*A	NE	'15/33	3500	25	CONC			15			False														ROAD	17.0	33			False										1000.0																	
11376	12638.12*A	NE	'15/33	2600	100	TURF			15			True														PLINE		33			False														PLINE													
11377	12639.5*A	NE	'17/35	1230	60	TURF			17																			35																														
11378	12639.5*A	NE	'18/36	2500	50	TURF			18																			36																	TREES													
11379	12645.1*A	NE	'17/35	2200	65	TURF			17																	TREES	20.0	35																	PLINE	25.0												
11380	12645.11*A	NE	'13/31	4201	100	CONC-G		MED	13	137.0		False	NPI	G	41-25-08.5393N	149108.5393N	096-06-50.9964W	346010.9964W	1317.6	40.0	3.0		P2L			TREES	46.0	31	317.0		False	NPI	G	41-24-38.0900N	149078.0900N	096-06-13.5407W	345973.5407W	1298.4	40.0	3.0		P2L			POLE	53.0	30.0	60.0										
11381	12648.*A	NE	'14/32	2700	50	ASPH-G		LOW	14			False	BSC	G								200.0				FENCE	3.0	32			False	BSC	G												HILL	15.0												
11382	12652.*A	NE	'17/35	2600	60	TURF			17																			35																														
11383	12658.2*A	NE	'10/28	2000	75	TURF			10																			28													300.0				BLDG	50.0												
11384	12659.*A	NE	'14/32	4203	75	CONC-G		MED	14	149.0		False	NPI	G	41-26-28.9176N	149188.9176N	099-38-46.1847W	358726.1847W	2546.3	32.0	3.0		P2L			ROAD	21.0	32	329.0		False	NPI	G	41-25-53.4947N	149153.4947N	099-38-17.4017W	358697.4017W	2523.1	41.0	3.0		P2L			TREES	47.0	30.0											
11385	12659.51*A	NE	'N/S	2000	100	TURF			N			False																S			False																											
11386	12659.51*A	NE	'NW/SE	2500	100	TURF			NW			False																SE			False																											
11387	12659.712*A	NE	'11/29	2600	50	TURF			11			False										250.0				TREES	12.0	29			False														ROAD	7.0												
11388	12665.5*A	NE	'15/33	2000	60	TURF			15																	ROAD		33																	CREEK													
11389	12668.*A	NE	'15/33	3900	60	CONC-E		MED	15	159.0		False	NPI	G	41-46-57.2613N	150417.2613N	099-09-09.9774W	356949.9774W	2172.4							ROAD	12.0	33	339.0		False	NPI	G	41-46-21.2903N	150381.2903N	099-08-51.5480W	356931.5480W	2183.3							PLINE	44.0	10.0											
11390	12669.8*A	NE	'NE/SW	2400	850	TURF			NE																			SW																														
11391	12669.81*A	NE	'N/S	2500	100	TURF			N																			S																	PLINE													
11392	12669.9*A	NE	'15/33	4098	60	CONC-E		MED	15	155.0		False	NPI	G	40-18-42.0300N	145122.0300N	100-09-54.6800W	360594.6800W	2413.4	40.0	3.0		P2L					33	335.0		False	NPI	G	40-18-05.3600N	145085.3600N	100-09-32.2400W	360572.2400W	2399.0	40.0	3.0		P2L			POLE	20.0	12.0											
11393	12669.91*H	NE	'H1	40	40	CONC			H1						40-16-51.2600N	145011.2600N	100-10-54.1600W	360654.1600W	2191.0																																							
11394	12670.33*A	NE	'17/35	2600	60	TURF			17						40-21-33.5400N	145293.5400N	098-41-08.8700W	355268.8700W	2044.0							ROAD		35						40-21-07.8500N	145267.8500N	098-41-09.0100W	355269.0100W	2075.0							BLDG													
11395	12670.35*A	NE	'17/35	2340	80	TURF			17			False														ROAD		35																														
11396	12671.2*A	NE	'16/34	3700	60	CONC-E		MED	16			False	NPI	G	41-06-59.1215N	148019.1215N	098-03-11.7781W	352991.7781W	1715.1							ROAD	16.0	34			False	NPI	G	41-06-24.1198N	147984.1198N	098-02-57.8383W	352977.8383W	1716.1							POLE	32.0	12.5											
11397	12674.*A	NE	'03/21	5998	100	CONC-E		HIGH	03	35.0	ILS	False	PIR	G	42-49-58.7449N	154198.7449N	103-06-01.1861W	371161.1861W	3297.8	61.0	3.0	289.0	V4L					21	215.0		False	NPI	G	42-50-47.2141N	154247.2141N	103-05-14.9132W	371114.9132W	3268.7	41.0	3.0	498.0	V4L			TREE	20.0	30.0	55.0	90.0		5998.0	5998.0	5500.0	5211.0	5998.0	5998.0	5500.0	5500.0
11398	12674.*A	NE	'12/30	4400	75	CONC-E		MED	12	125.0		False	NPI	G	42-50-17.0546N	154217.0546N	103-06-15.0022W	371175.0022W	3293.7	29.0	3.0		P4L					30	305.0		False	NPI	G	42-49-52.1720N	154192.1720N	103-05-26.6066W	371126.6066W	3283.7	41.0	3.0		P4L			ROAD	35.0	21.0	30.0			4400.0	4400.0	4400.0	4400.0	4400.0	4400.0	4400.0	4400.0
11399	12674.01*H	NE	'H1	40	40	CONC			H1						42-49-20.7600N	154160.7600N	103-00-53.4100W	370853.4100W	3500.0																																							
11400	12675.8*A	NE	'NW/SE	3300	60	GRAVEL			NW																			SE																														
11401	12677.1*A	NE	'12/30	4000	55	ASPH-P		MED	12	130.0		False	NPI	F	41-04-51.5110N	147891.5110N	102-28-10.6400W	368890.6400W	3681.3							POLE	35.0	30	310.0		False	NPI	F	41-04-26.2090N	147866.2090N	102-27-30.5230W	368850.5230W	3677.8			130.0				ROAD	11.0	15.0											
11402	12677.5*A	NE	'N/S	1400	100	TURF			N																			S																														
11403	12681.*A	NE	'02/20	4135	150	TURF-F			02	30.0					41-26-34.1276N	149194.1276N	097-20-24.9200W	350424.9200W	1440.9			101.0				BLDG	14.0	20	210.0					41-27-09.5600N	149229.5600N	097-19-57.8982W	350397.8982W	1439.5							PLINE	50.0												
11404	12681.*A	NE	'14/32	6801	100	CONC-G		MED	14	150.0	LOCALIZER	False	PIR	G	41-27-26.6525N	149246.6525N	097-20-59.6110W	350459.6110W	1447.3	40.0	3.0		P4L					32	330.0		False	PIR	G	41-26-28.5729N	149188.5729N	097-20-14.7219W	350414.7219W	1440.5	44.0	3.0	950.0	V4L			BLDG	24.0	43.0	58.0			6800.0	6800.0	6260.0	6260.0	6800.0	6800.0	6800.0	5850.0
11405	12681.12*A	NE	'E/W	1300	60	TURF			E																			W																														
11406	12684.*A	NE	'13/31	5000	75	CONC-G		MED	13	137.0		False	NPI	G	40-52-29.8754N	147149.8754N	100-00-40.7515W	360040.7515W	2503.2	52.0	3.0		P2L			ROAD	16.0	31	317.0		False	NPI	G	40-51-53.5009N	147113.5009N	099-59-56.7121W	359996.7121W	2497.3	49.0	3.75		P2L			OTHER	167.0	30.0											
11407	12684.*A	NE	'18/36	3000	300	TURF-G			18	191.0		False			40-52-23.1742N	147143.1742N	100-00-06.0165W	360006.0165W	2499.5							ROAD	15.0	36	11.0		False			40-51-54.0373N	147114.0373N	100-00-13.1745W	360013.1745W	2497.2							RR	25.0												
11408	12693.*A	NE	'13/31	3700	60	CONC-E		MED	13	130.0		False	NPI	G	42-28-30.0496N	152910.0496N	097-53-24.4931W	352404.4931W	1641.8	40.0	3.0		P2L			TREE	31.0	31	310.0		False	NPI	G	42-28-06.4020N	152886.4020N	097-52-46.8375W	352366.8375W	1644.0	40.0	3.0		P2L					12.0											
11409	12693.*A	NE	'18/36	2100	200	TURF-F			18	190.0		False			42-28-24.0349N	152904.0349N	097-53-01.4994W	352381.4994W	1653.0							TREE	33.0	36	10.0		False			42-28-03.6135N	152883.6135N	097-53-06.4625W	352386.4625W	1628.0							ROAD	15.0												
11410	12694.*A	NE	'13/31	3370	150	TURF-F			13	135.0					40-37-20.1109N	146240.1109N	096-55-51.6204W	348951.6204W	1491.4							TREE	28.0	31	315.0					40-36-56.4276N	146216.4276N	096-55-20.9050W	348920.9050W	1495.8							TREE	37.0												
11411	12694.*A	NE	'17/35	4201	75	CONC-F		HIGH	17	180.0		False	NPI	G	40-37-25.2173N	146245.2173N	096-55-29.4319W	348929.4319W	1499.1	40.0	3.0		P2L			ROAD	18.0	35	0.0		False	NPI	G	40-36-43.7049N	146203.7049N	096-55-29.7163W	348929.7163W	1478.8	40.0	3.0		P2L					28.0	48.0										
11412	12695.51*A	NE	'10/28	2900	100	TURF-G	NONE		10						40-13-49.1100N	144829.1100N	100-51-42.7800W	363102.7800W	2590.0									28						40-13-42.1300N	144822.1300N	100-51-06.4900W	363066.4900W	2582.0																				
11413	12695.61*A	NE	'N/S	2600	200	TURF			N																	PLINE	35.0	S																														
11414	12696.*A	NE	'09/27	1600	24	CONC			09																			27																														
11415	12697.*A	NE	'12/30	3402	60	CONC-G		MED	12			False	NPI	G	40-38-30.9822N	146310.9822N	100-28-39.0612W	361719.0612W	2677.2									30			False	NPI	G	40-38-09.9307N	146289.9307N	100-28-04.6724W	361684.6724W	2661.0							FENCE	4.0	12.0											
11416	12697.*A	NE	'17/35	2200	120	TURF-F			17	183.0		False			40-38-28.8039N	146308.8039N	100-28-27.5164W	361707.5164W	2675.6							FENCE	4.0	35	3.0		False			40-38-07.0881N	146287.0881N	100-28-28.7224W	361708.7224W	2667.9							PLINE	15.0												
11417	12697.2*A	NE	'E/W	1800	75	TURF			E			False																W			False																											
11418	12697.2*A	NE	'N/S	1900	75	TURF			N			False														PLINE		S			False																											
11419	12697.81*A	NE	'02/20	1700	60	TURF			02																	WIRES	20.0	20																														
11420	12699.*A	NE	'01/19	2100	120	TURF-F			01	15.0		True			41-13-43.0200N	148423.0200N	097-07-31.6700W	349651.6700W	1612.0							FENCE	4.0	19	195.0		False			41-14-03.0800N	148443.0800N	097-07-24.6400W	349644.6400W	1613.2							ROAD	14.0												
11421	12699.*A	NE	'14/32	3675	60	ASPH-G		MED	14	146.0		False	NPI	G	41-14-02.1818N	148442.1818N	097-07-30.5364W	349650.5364W	1613.1	40.0	3.0	75.0	P2L			ROAD	13.0	32	326.0		True	NPI	G	41-13-32.2345N	148412.2345N	097-07-03.3457W	349623.3457W	1616.0	40.0	3.0		P2L			TREES	23.0	12.5				3675.0	3675.0	3675.0	3600.0	3675.0	3675.0	3675.0	3675.0
11422	12700.6*A	NE	'01/19	2500	30	ASPH			01			False																19			False																											
11423	12701.431*A	NE	'12/30	2000	50	TURF			12																			30																														
11424	12702.21*A	NE	'08/26	2600	100	TURF			08			False														PLINE		26			False														FENCE													
11425	12702.21*A	NE	'10/28	1300	100	TURF			10			False														PLINE		28			False														FENCE													
11426	12702.22*H	NE	'H1	35	35	ASPH-CONC		FLD	H1						41-15-25.0000N	148525.0000N	096-14-37.0900W	346477.0900W	1227.0																																							
11427	12702.31*A	NE	'12/30	1800	75	TURF			12																	PLINE		30																														
11428	12702.51*A	NE	'15/33	3030	200	TURF			15																	PLINE		33																	BLDG	20.0												
11429	12703.*A	NE	'11/29	3000	170	TURF			11																			29																	TREES	30.0												
11430	12704.*A	NE	'11/29	2487	150	TURF-G			11	120.0					40-10-55.9236N	144655.9236N	097-10-10.8987W	349810.8987W	1471.7							ROAD	11.0	29	300.0					40-10-43.4272N	144643.4272N	097-09-43.3055W	349783.3055W	1456.8																				
11431	12704.*A	NE	'17/35	3700	75	CONC-G		MED	17	180.0		False	NPI	G	40-11-16.9644N	144676.9644N	097-10-09.1619W	349809.1619W	1478.6	40.0	3.0		P2L					35	0.0		False	NPI	G	40-10-40.4042N	144640.4042N	097-10-09.5334W	349809.5334W	1463.8	40.0	3.0		P2L			ROAD	14.0	12.0											
11432	12704.01*H	NE	'H1	40	40	CONC			H1						40-09-17.5800N	144557.5800N	097-10-26.1600W	349826.1600W	1433.0							BLDG	30.0																															
11433	12705.*A	NE	'12/30	3021	60	CONC-F			12	135.0		False	BSC	G	40-35-07.5997N	146107.5997N	097-34-47.6332W	351287.6332W	1635.8									30	315.0		False	BSC	G	40-34-46.5586N	146086.5586N	097-34-19.8620W	351259.8620W	1632.7																				
11434	12705.*A	NE	'17/35	4317	75	CONC-G		MED	17	180.0		False	NPI	G	40-35-40.2899N	146140.2899N	097-34-16.0604W	351256.0604W	1635.3									35	360.0		False	NPI	G	40-34-57.6315N	146097.6315N	097-34-15.8868W	351255.8868W	1634.0																				
11435	12707.1*A	NE	'15/33	3999	75	CONC-G		MED	15	149.0		False	NPI	G	40-05-00.5343N	144300.5343N	095-35-44.4662W	344144.4662W	983.7	40.0	3.0		P2L					33	329.0		False	NPI	G	40-04-26.7089N	144266.7089N	095-35-17.8577W	344117.8577W	979.6	40.0	3.0		P2L					30.0	48.0										
11436	12707.5*H	NE	'H1	45	45	TURF			H1																																																	
11437	12707.91*A	NE	'17/35	2500	66	TURF			17																	PLINE	30.0	35																														
11438	12714.*A	NE	'16/34	2000	125	TURF-G			16						40-07-55.3200N	144475.3200N	098-56-37.5200W	356197.5200W	2019.0									34						40-07-35.7300N	144455.7300N	098-56-34.0900W	356194.0900W	1991.0																				
11439	12714.02*H	NE	'H1	30	30	CONC		FLD	H1						40-06-09.2700N	144369.2700N	098-57-15.5300W	356235.5300W	1950.0																																							
11440	12714.03*A	NE	'04/22	1238	40	TURF-G			04						40-05-50.1600N	144350.1600N	098-58-45.3300W	356325.3300W	1870.0									22						40-05-59.0000N	144359.0000N	098-58-34.3100W	356314.3100W	1860.0																				
11441	12716.*A	NE	'14/32	6353	100	CONC-E		MED	14	141.0		False	NPI	G	41-27-27.3268N	149247.3268N	096-31-50.3754W	347510.3754W	1203.0	40.0	3.0	850.0	P2L			POLE	27.0	32	321.0		True	NPI	G	41-26-38.6603N	149198.6603N	096-30-57.7070W	347457.7070W	1202.7	40.0	3.0	850.0	P2L			TREE	51.0	28.0	48.0			5500.0	5500.0	5500.0	4650.0	5500.0	5500.0	5500.0	4650.0
11442	12717.06*U	NE	'09/27	800	40	TURF			09			True			40-33-24.3800N	146004.3800N	097-12-39.5300W	349959.5300W	1567.0									27						40-33-24.3900N	146004.3900N	097-12-29.1600W	349949.1600W	1565.0																				
11443	12720.*A	NE	'17/35	3350	75	TURF			17			False																35			False														TREES													
11444	12729.5*A	NE	'11/29	2500	75	TURF-G			11			False														ROAD	17.0	29			False														FENCE	7.0												
11445	12736.*A	NE	'04/22	5196	75	ASPH-E		MED	04	49.0		False	NPI	G	42-48-07.1955N	154087.1955N	102-10-52.1960W	367852.1960W	3543.5	39.0	3.0		P2L			TREES	57.0	22	229.0		False	NPI	G	42-48-41.0495N	154121.0495N	102-09-59.8271W	367799.8271W	3562.1	39.0	3.0		P2L					12.0											
11446	12736.*A	NE	'11/29	2284	50	ASPH-F		MED	11	123.0		False	BSC	F	42-48-21.6978N	154101.6978N	102-10-54.9159W	367854.9159W	3548.9							POLE	33.0	29	303.0		False	BSC	F	42-48-09.5026N	154089.5026N	102-10-29.1442W	367829.1442W	3542.1									12.0											
11447	12739.1*A	NE	'E/W	2000	60	TURF			E			False																W			False																											
11448	12739.1*A	NE	'N/S	1300	60	TURF			N			False														LAKE		S			False														HILLS													
11449	12739.1*A	NE	'NE/SW	1800	60	TURF			NE			False																SW			False																											
