site_number	state	sequence_number	service_schedule
04249.*A	ID	1	UNATTENDED
04249.01*A	ID	1	ALL/ALL/ALL
04251.*A	ID	1	UNATTENDED
04251.1*A	ID	1	UNATTENDED
04252.*A	ID	1	UNATTENDED
04254.*H	ID	1	ALL/ALL/ALL
04255.*A	ID	1	UNATTENDED
04255.01*A	ID	1	UNATTENDED
04256.5*A	ID	1	UNATTENDED
04261.*H	ID	1	UNATTENDED
04262.*G	ID	1	UNATTENDED
04262.1*A	ID	1	UNATTENDED
04263.*A	ID	1	UNATTENDED
04265.*A	ID	1	UNATTENDED
04265.01*A	ID	1	UNATTENDED
04265.04*H	ID	1	UNATTENDED
04268.*A	ID	1	ALL
04269.*A	ID	1	ALL/MON-FRI/0800-1700
04269.01*H	ID	1	UNATTENDED
04269.02*A	ID	1	UNATTENDED
04270.5*A	ID	1	MAY-OCT/ALL/0800-1700
04270.5*A	ID	2	NOV-APR/IREG/IREG
04271.*A	ID	1	UNATTENDED
04273.*A	ID	2	UNATTENDED
04273.01*A	ID	1	UNATTENDED
04273.03*A	ID	1	UNATTENDED
04275.*A	ID	2	ALL/ALL/0800-1700
04275.02*A	ID	1	UNATTENDED
04275.03*A	ID	1	UNATTENDED
04275.5*A	ID	1	UNATTENDED
04275.9*A	ID	1	APR-OCT/MON-FRI/0800-1700
04275.9*A	ID	2	NOV-MAR/IREG/IREG
04277.1*A	ID	1	UNATTENDED
04277.12*H	ID	1	UNATTENDED
04277.5*A	ID	1	UNATTENDED
04277.7*H	ID	1	UNATTENDED
04278.*A	ID	2	UNATTENDED
04278.01*A	ID	1	UNATTENDED
04278.02*H	ID	1	UNATTENDED
04278.5*A	ID	1	UNATTENDED
04279.*U	ID	1	APR-NOV/IREG/IREG
04280.*A	ID	1	ALL/ALL/ALL
04282.*A	ID	1	UNATTENDED
04284.*A	ID	1	UNATTENDED
04285.1*A	ID	1	ALL/MON-SAT/0800-1800
04285.7*A	ID	1	UNATTENDED
04286.*A	ID	1	UNATTENDED
04287.*A	ID	1	UNATTENDED
04288.*A	ID	1	ALL/ALL/0600-2000
04288.01*H	ID	1	UNATTENDED
04294.01*A	ID	1	UNATTENDED
04294.51*A	ID	1	UNATTENDED
04294.52*H	ID	1	ALL/ALL/ALL
04295.*A	ID	1	UNATTENDED
04296.*A	ID	1	ALL/ALL/DALGT
04302.*A	ID	1	UNATTENDED
04302.1*A	ID	1	UNATTENDED
04302.11*A	ID	1	UNATTENDED
04302.13*A	ID	1	IRREGULAR
04302.14*A	ID	1	UNATTENDED
04305.1*A	ID	1	ALL/MON-SAT/0800-1800
04308.*A	ID	1	UNATTENDED
04308.01*H	ID	1	UNATTENDED
04308.16*A	ID	1	ALL/ALL/ALL
04308.65*A	ID	1	UNATTENDED
04310.01*H	ID	1	ALL/ALL/ALL
04311.2*A	ID	1	MAR-NOV/ALL/0600-2200
04314.*A	ID	1	UNATTENDED
04320.*A	ID	2	UNATTENDED
04320.01*A	ID	1	IRREGULAR
04320.02*H	ID	1	ALL/ALL/ALL
04323.*A	ID	1	ALL/ALL/0800-1700
04323.01*A	ID	1	UNATTENDED
04323.03*A	ID	1	UNATTENDED
04326.*A	ID	1	SUMMER/ALL/0700-1700
04326.*A	ID	2	WINTER/ALL/0800-1700
04326.01*A	ID	1	ON CALL
04326.02*A	ID	1	UNATTENDED
04326.04*A	ID	1	UNATTENDED
04326.05*A	ID	1	UNATTENDED
04326.06*A	ID	1	UNATTENDED
04326.07*A	ID	1	UNATTENDED
04326.1*C	ID	1	MAY-OCT/ALL/DAWN-DUSK
04329.*A	ID	1	UNATTENDED
04332.*A	ID	1	UNATTENDED
04334.*A	ID	1	UNATTENDED
04334.01*A	ID	1	UNATTENDED
04335.*A	ID	1	UNATTENDED
04338.*A	ID	1	UNATTENDED
04338.75*A	ID	1	UNATTENDED
04340.51*A	ID	1	UNATTENDED
04340.52*A	ID	1	UNATTENDED
04340.53*A	ID	1	UNATTENDED
04340.6*A	ID	1	UNATTENDED
04340.76*A	ID	1	UNATTENDED
04341.7*H	ID	1	DEC-MAY/ALL/0700-DUSK
04342.5*A	ID	1	UNATTENDED
04343.2*A	ID	1	UNATTENDED
04343.4*A	ID	1	UNATTENDED
04344.1*A	ID	1	ALL/ALL/0630-2000
04345.03*H	ID	1	UNATTENDED
04345.04*H	ID	1	ALL/ALL/ALL
04347.1*H	ID	1	UNATTENDED
04352.1*A	ID	1	UNATTENDED
04352.8*A	ID	1	IRREGULAR
04353.*A	ID	1	ALL/ALL/ALL
04353.01*A	ID	1	UNATTENDED
04355.*A	ID	1	UNATTENDED
04360.1*A	ID	1	UNATTENDED
04360.11*A	ID	1	UNATTENDED
04360.2*A	ID	1	JUN-AUG/THU-MON/0800-1700
04363.*A	IL	1	UNATTENDED
04366.*A	IL	1	ALL/ALL/0800-1700
04366.01*H	IL	1	ALL/ALL/ALL
04368.8*A	IL	1	IRREGULAR
04369.*A	IL	1	UNATTENDED
04371.2*H	IL	1	IRREGULAR
04372.*A	IL	1	ALL/ALL/0700-2200
04372.02*H	IL	1	UNATTENDED
04372.03*H	IL	1	ALL/ALL/ALL
04373.31*A	IL	1	UNATTENDED
04374.7*H	IL	1	ALL/ALL/ALL
04377.1*A	IL	1	UNATTENDED
04377.11*A	IL	1	UNATTENDED
04379.01*A	IL	4	UNATTENDED
04381.01*A	IL	1	UNATTENDED
04382.26*A	IL	1	UNATTENDED
04382.4*H	IL	1	ALL/ALL/ALL
04388.*A	IL	1	UNATTENDED
04388.01*A	IL	1	IRREGULAR
04401.17*H	IL	1	ALL/ALL/ALL
04401.18*H	IL	1	UNATTENDED
04404.02*H	IL	1	ALL/ALL/ALL
04407.5*H	IL	1	UNATTENDED
04409.*H	IL	1	UNATTENDED
04411.11*A	IL	1	UNATTENDED
04411.21*A	IL	1	UNATTENDED
04412.*A	IL	1	UNATTENDED
04412.1*A	IL	1	UNATTENDED
04412.11*H	IL	1	UNATTENDED
04413.*A	IL	1	ALL/ALL/ALL
04417.03*A	IL	1	UNATTENDED
04417.06*A	IL	1	UNATTENDED
04417.07*A	IL	1	UNATTENDED
04417.08*A	IL	1	UNATTENDED
04418.*A	IL	1	UNATTENDED
04426.*A	IL	1	IRREGULAR
04427.*A	IL	1	UNATTENDED
04427.05*H	IL	1	ALL/ALL/ALL
04427.7*A	IL	1	UNATTENDED
04428.31*A	IL	1	UNATTENDED
04429.7*A	IL	1	UNATTENDED
04431.*A	IL	1	ALL/ALL/0400L-2400L
04431.1*H	IL	1	UNATTENDED
04431.12*A	IL	1	UNATTENDED
04431.14*H	IL	1	UNATTENDED
04434.*A	IL	1	UNATTENDED
04434.1*A	IL	1	UNATTENDED
04434.2*A	IL	1	UNATTENDED
04444.*A	IL	1	ALL/ALL/0700-1800
04445.*H	IL	1	ALL/ALL/ALL
04448.*A	IL	1	UNATTENDED
04450.*A	IL	1	UNATTENDED
04451.*H	IL	1	ALL/ALL/ALL
04452.9*H	IL	1	ALL/ALL/ALL
04454.63*A	IL	1	ALL/ALL/ALL
04455.*H	IL	1	UNATTENDED
04456.7*A	IL	1	UNATTENDED
04457.3*H	IL	1	UNATTENDED
04457.44*A	IL	1	UNATTENDED
04457.61*A	IL	1	UNATTENDED
04457.65*A	IL	1	UNATTENDED
04458.8*A	IL	1	ALL/ALL/ALL
04459.1*A	IL	1	ALL/MON-SAT/0900-1700
04459.1*A	IL	2	ALL/SUN/IRREG
04459.11*A	IL	1	UNATTENDED
04459.9*A	IL	1	UNATTENDED
04461.6*A	IL	1	UNATTENDED
04463.1*A	IL	1	ALL/ALL/0700-DUSK
04463.11*H	IL	1	ALL/ALL/ALL
04467.*A	IL	1	UNATTENDED
04467.4*A	IL	1	UNATTENDED
04477.*A	IL	1	ALL/ALL/ALL
04477.01*H	IL	1	ALL/ALL/ALL
04479.13*A	IL	1	UNATTENDED
04479.14*H	IL	2	ALL/ALL/ALL
04480.12*A	IL	2	ALL/MON-SAT/0700-1700
04480.12*A	IL	3	ALL/SUN/0700-1700
04484.01*H	IL	1	IRREGULAR
04485.14*A	IL	1	UNATTENDED
04485.16*A	IL	1	IRREGULAR
04485.17*H	IL	1	ALL/ALL/ALL
04485.2*A	IL	1	UNATTENDED
04485.21*A	IL	1	UNATTENDED
04486.1*H	IL	1	ALL/MON-FRI/0800-1630
04487.*A	IL	1	ALL/MON-SAT/0800-1700
04490.*A	IL	1	ALL/ALL/0800-DUSK
04490.03*H	IL	1	ALL/ALL/ALL
04490.04*H	IL	1	UNATTENDED
04490.5*H	IL	1	ALL/ALL/ALL
04491.07*A	IL	1	UNATTENDED
04493.12*A	IL	1	UNATTENDED
04494.*A	IL	1	ALL/ALL/ALL
04494.26*G	IL	1	UNATTENDED
04495.5*A	IL	1	IRREGULAR
04495.8*H	IL	1	ALL/ALL/ALL
04499.5*U	IL	1	IRREGULAR
04500.01*A	IL	1	UNATTENDED
04500.012*A	IL	1	UNATTENDED
04500.52*H	IL	1	ALL/ALL/ALL
04503.*A	IL	1	ALL/ALL/ALL
04503.03*H	IL	1	IRREGULAR
04503.04*A	IL	1	ALL/ALL/0700-2100
04503.05*H	IL	1	ALL/ALL/ALL
04503.06*H	IL	1	UNATTENDED
04503.8*H	IL	1	ALL/ALL/ALL
04504.01*H	IL	1	ALL/ALL/ALL
04504.27*H	IL	1	ALL/ALL/0600-2300
04505.7*H	IL	1	UNATTENDED
04505.9*H	IL	1	ALL/ALL/ALL
04506.*A	IL	1	ALL/ALL/0600-2400
04506.51*H	IL	1	ALL/ALL/ALL
04506.53*H	IL	1	UNATTENDED
04506.54*H	IL	1	ALL/ALL/ALL
04507.*A	IL	1	ALL/ALL/ALL
04508.*A	IL	1	ALL/ALL/ALL
04508.1*A	IL	1	ALL/ALL/ALL
04508.2*A	IL	3	MAY-OCT/MON-SUN/0800-1700
04508.2*A	IL	4	NOV-APR/MON-SUN/0900-1600
04508.3*H	IL	1	UNATTENDED
04508.6*A	IL	1	ALL/ALL/ALL
04518.*A	IL	1	ALL/ALL/0700-1500
04518.1*H	IL	1	ALL/ALL/ALL
04518.8*A	IL	1	OCT-APR/ALL/0700-1900
04518.8*A	IL	2	MAY-SEP/ALL/0700-2000
04518.81*H	IL	1	UNATTENDED
04532.8*A	IL	1	ALL/ALL/ALL
04533.1*A	IL	1	IRREGULAR
04533.2*A	IL	1	ALL/IREG/IREG
04533.21*H	IL	1	ALL/ALL/ALL
04533.22*A	IL	1	IRREGULAR
04539.*H	IL	1	ALL/ALL/ALL
04540.*A	IL	1	UNATTENDED
04542.01*A	IL	1	UNATTENDED
04543.*A	IL	1	ALL/ALL/0800-DUSK
04543.1*A	IL	1	IRREGULAR
04543.2*A	IL	1	ALL/ALL/ALL
04544.7*A	IL	1	UNATTENDED
04545.33*A	IL	1	UNATTENDED
04545.9*H	IL	1	ALL/ALL/ALL
04548.7*A	IL	1	ALL/ALL/ALL
04555.1*C	IL	1	UNATTENDED
04555.11*H	IL	1	UNATTENDED
04556.5*A	IL	1	UNATTENDED
04559.*A	IL	1	UNATTENDED
04560.1*A	IL	1	ALL/ALL/ALL
04562.1*A	IL	1	ALL/ALL/0700-2200
04562.22*A	IL	1	UNATTENDED
04562.23*H	IL	1	UNATTENDED
04562.29*H	IL	1	IRREGULAR
04562.31*H	IL	1	UNATTENDED
04562.32*H	IL	1	ALL/ALL/ALL
04562.8*A	IL	1	UNATTENDED
04564.*A	IL	1	ALL/MON-FRI/ALL
04564.*A	IL	2	ALL/SAT SUN/0700-2130
04564.01*H	IL	1	ALL/ALL/ALL
04564.02*H	IL	1	ALL/ALL/ALL
04564.03*H	IL	1	UNATTENDED
04564.04*H	IL	1	ALL/ALL/0800-1630
04565.*A	IL	1	ALL/ALL/IREG
04567.*A	IL	1	ALL/ALL/0730-1730
04567.02*H	IL	1	UNATTENDED
04567.04*A	IL	1	UNATTENDED
04567.06*A	IL	1	UNATTENDED
04567.07*A	IL	1	ALL/IREG/
04567.1*A	IL	1	UNATTENDED
04573.11*H	IL	1	UNATTENDED
04581.*A	IL	1	ALL/MON-FRI/0800-1700
04581.*A	IL	2	ALL/SAT/0800-1200
04581.*A	IL	3	ALL/SUN/ON CALL
04581.02*H	IL	1	UNATTENDED
04581.05*H	IL	1	ALL/ALL/ALL
04585.*A	IL	1	UNATTENDED
04585.01*H	IL	1	UNATTENDED
04586.01*A	IL	1	UNATTENDED
04587.*A	IL	1	UNATTENDED
04588.1*H	IL	1	ALL/ALL/ALL
04588.2*A	IL	1	ALL/ALL/ALL
04593.1*H	IL	1	UNATTENDED
04594.01*A	IL	1	APR-NOV/MON-SAT/0800-1600
04594.02*H	IL	1	UNATTENDED
04594.03*A	IL	1	UNATTENDED
04596.1*A	IL	1	UNATTENDED
04596.11*A	IL	1	UNATTENDED
04596.12*A	IL	1	UNATTENDED
04596.13*A	IL	1	IRREGULAR
04601.*A	IL	1	UNATTENDED
04601.115*A	IL	1	IRREGULAR
04603.1*U	IL	1	ALL/ALL/IREG
04611.*A	IL	1	ALL/ALL/ALL
04614.*A	IL	1	ALL/ALL/0800-1700
04614.04*H	IL	1	ALL/ALL/ALL
04614.05*H	IL	1	ALL/ALL/ALL
04614.07*A	IL	1	UNATTENDED
04618.01*H	IL	1	UNATTENDED
04618.05*H	IL	1	ALL/ALL/ALL
04618.06*H	IL	1	ALL/ALL/ALL
04618.5*H	IL	1	ALL/ALL/ALL
04620.*H	IL	1	UNATTENDED
04620.02*H	IL	1	ALL/ALL/ALL
04620.2*A	IL	1	ALL/ALL/DYLGT
04621.*A	IL	1	IRREGULAR
04621.2*A	IL	1	UNATTENDED
04622.6*A	IL	1	UNATTENDED
04624.6*A	IL	1	UNATTENDED
04625.21*U	IL	1	ALL/MON-FRI/SR-SS
04625.72*A	IL	1	UNATTENDED
04625.8*U	IL	1	IRREGULAR
04631.*A	IL	1	UNATTENDED
04634.11*A	IL	1	IRREGULAR
04634.17*A	IL	1	UNATTENDED
04635.1*A	IL	1	ALL/ALL/0800-1600
04635.11*A	IL	1	UNATTENDED
04635.12*H	IL	1	UNATTENDED
04639.02*A	IL	1	UNATTENDED
04640.*A	IL	1	UNATTENDED
04648.41*A	IL	1	UNATTENDED
04649.*A	IL	1	UNATTENDED
04650.1*A	IL	1	ALL/MON-FRI/0800-1630
04650.12*H	IL	1	ALL/ALL/ALL
04654.41*H	IL	1	UNATTENDED
04654.42*H	IL	1	UNATTENDED
04656.*A	IL	1	UNATTENDED
04660.*A	IL	1	ALL/MON-FRI/0800-1700
04660.*A	IL	2	ALL/SAT/0900-1500
04660.01*H	IL	1	UNATTENDED
04660.02*A	IL	1	ALL/ALL/IREG
04663.*H	IL	1	IRREGULAR
04664.12*A	IL	1	IRREGULAR
04664.14*H	IL	1	ALL/ALL/ALL
04667.1*A	IL	1	ALL/SAT-SUN/0700-1900
04667.1*A	IL	2	ALL/MON-FRI/0600-2030
04667.12*H	IL	1	ALL/ALL/ALL
04667.4*H	IL	1	UNATTENDED
04672.*A	IL	1	ALL/ALL/IREG
04672.04*H	IL	1	ALL/ALL/ALL
04672.06*H	IL	1	ALL/ALL/ALL
04672.8*H	IL	1	ALL/ALL/ALL
04674.*A	IL	1	ALL/ALL/ALL
04678.52*H	IL	1	IRREGULAR
04678.53*A	IL	2	UNATTENDED
04678.7*A	IL	1	UNATTENDED
04679.1*A	IL	1	UNATTENDED
04688.2*H	IL	1	UNATTENDED
04693.02*H	IL	1	ALL/ALL/ALL
04694.05*H	IL	1	UNATTENDED
04694.6*A	IL	1	UNATTENDED
04696.21*H	IL	1	UNATTENDED
04697.4*H	IL	1	ALL/ALL/IREG
04698.3*H	IL	1	ALL/ALL/ALL
04699.*A	IL	1	ALL/MON-SAT/0700-1700
04699.3*H	IL	1	UNATTENDED
04703.1*A	IL	1	ALL/MON-FRI/0830-1600
04703.1*A	IL	2	ALL/SAT-SUN/UNATTENDED
04703.11*H	IL	1	ALL/ALL/ALL
04712.8*A	IL	1	UNATTENDED
04713.1*A	IL	1	ALL/ALL/0730-1700
04713.12*H	IL	1	ALL/ALL/ALL
04715.*A	IL	2	ALL/ALL/0800-1700
04717.*A	IL	1	UNATTENDED
04718.91*H	IL	1	ALL/MON-FRI/0800-1700
04718.98*A	IL	1	IRREGULAR
04719.*A	IL	1	UNATTENDED
04720.11*A	IL	1	ALL/MON-FRI/ALL
04720.12*A	IL	1	UNATTENDED
04720.3*A	IL	1	UNATTENDED
04720.9*H	IL	1	ALL/MON-FRI/0800-1700
04721.*A	IL	1	IRREGULAR
04721.99*H	IL	1	ALL/ALL/ALL
04722.*A	IL	1	ALL/ALL/0800-1700
04727.*A	IL	1	ALL/ALL/0800-2200
04727.12*A	IL	1	UNATTENDED
04727.13*A	IL	1	SUMMER/ALL/DALGT
04727.14*A	IL	1	ALL/MON-SAT/0800-1700
04727.2*H	IL	1	UNATTENDED
04730.*H	IL	1	ALL/ALL/ALL
04730.02*H	IL	1	ALL/ALL/ALL
04736.01*H	IL	1	ALL/ALL/ALL
04736.13*A	IL	1	IRREGULAR
04736.7*H	IL	1	UNATTENDED
04738.4*A	IL	1	UNATTENDED
04739.3*C	IL	1	UNATTENDED
04739.61*A	IL	1	UNATTENDED
04740.1*H	IL	1	ALL/ALL/ALL
04740.68*A	IL	1	UNATTENDED
04744.*A	IL	1	UNATTENDED
04744.5*H	IL	1	UNATTENDED
04747.01*H	IL	1	ALL/ALL/ALL
04747.05*A	IL	1	UNATTENDED
04747.41*A	IL	1	IRREGULAR
04747.81*A	IL	1	UNATTENDED
04749.*A	IL	1	ALL/ALL/IREG
04753.5*H	IL	2	ALL/ALL/ALL
04754.51*A	IL	1	ALL/ALL/IREG
04755.01*H	IL	1	UNATTENDED
04756.8*H	IL	1	UNATTENDED
04757.5*A	IL	1	UNATTENDED
04758.94*A	IL	1	UNATTENDED
04758.961*A	IL	1	ALL/ALL/1000-1800
04759.02*A	IL	1	UNATTENDED
04759.1*A	IL	1	UNATTENDED
04759.37*H	IL	1	ALL/ALL/ALL
04759.4*A	IL	1	UNATTENDED
04759.414*A	IL	1	MAR-OCT/SAT-SUN/DAWN-DUSK
04760.*A	IL	1	ALL/ALL/0700-DUSK
04760.13*H	IL	1	UNATTENDED
04762.03*H	IL	1	UNATTENDED
04763.11*A	IL	1	UNATTENDED
04763.12*A	IL	1	UNATTENDED
04763.13*H	IL	1	ALL/ALL/ALL
04763.14*A	IL	1	UNATTENDED
04767.*A	IL	1	APR-OCT/ALL/0700-1800
04767.*A	IL	2	NOV-MAR/ALL/0700-1800
04767.01*H	IL	1	ALL/ALL/ALL
04772.5*A	IL	1	UNATTENDED
04773.*A	IL	1	ALL/MON-FRI/0700-1900
04773.*A	IL	2	ALL/SAT-SUN/IRREG
04773.1*A	IL	1	APR-OCT/ALL/0700-1900
04773.1*A	IL	2	NOV-MAR/ALL/0700-1800
04773.12*H	IL	1	ALL/ALL/ALL
04773.2*A	IL	1	UNATTENDED
04773.31*H	IL	1	ALL/ALL/ALL
04773.4*A	IL	1	UNATTENDED
04774.01*H	IL	1	UNATTENDED
04774.65*A	IL	1	UNATTENDED
04781.1*A	IL	1	ALL/MON-FRI/0800-1800
04781.1*A	IL	2	ALL/SAT/0800-1700
04781.1*A	IL	3	ALL/SUN/0900-1700
04781.22*H	IL	1	ALL/ALL/ALL
04782.8*A	IL	1	UNATTENDED
04783.*A	IL	1	UNATTENDED
04784.41*A	IL	1	UNATTENDED
04784.42*A	IL	1	UNATTENDED
04786.*A	IL	1	ALL/ALL/0800-1700
04789.01*H	IL	1	ALL/ALL/ALL
04791.3*A	IL	1	UNATTENDED
04792.*A	IL	1	UNATTENDED
04792.3*H	IL	1	ALL/ALL/ALL
04796.92*A	IL	1	UNATTENDED
04798.1*A	IL	1	UNATTENDED
04798.11*A	IL	1	UNATTENDED
04799.*A	IL	1	IRREGULAR
04802.*A	IL	1	UNATTENDED
04803.*A	IL	1	ALL/ALL/0600-2200
04803.01*H	IL	1	UNATTENDED
04803.1*A	IL	1	UNATTENDED
04803.11*A	IL	1	UNATTENDED
04804.92*A	IL	1	ALL/ALL/IRREG
04804.93*A	IL	1	ALL/ALL/ALL
04810.21*H	IL	1	ALL/ALL/ALL
04810.63*A	IL	1	UNATTENDED
04810.95*A	IL	1	UNATTENDED
04812.*A	IL	1	IRREGULAR
04815.*H	IL	1	UNATTENDED
04821.*A	IL	1	UNATTENDED
04821.01*H	IL	1	ALL/ALL/ALL
04821.1*A	IL	1	UNATTENDED
04822.*A	IL	1	ALL/MON-SAT/IREG
04822.11*A	IL	1	IRREGULAR
04822.6*H	IL	1	ALL/ALL/ALL
04824.*A	IL	1	ALL/ALL/0800-1700
04824.03*H	IL	1	ALL/ALL/ALL
04824.04*H	IL	1	ALL/ALL/ALL
04824.5*A	IL	1	UNATTENDED
04836.2*A	IL	1	UNATTENDED
04837.02*C	IL	1	UNATTENDED
04837.21*H	IL	1	ALL/ALL/ALL
04837.5*A	IL	1	UNATTENDED
04837.70*A	IL	1	UNATTENDED
04838.*A	IL	1	UNATTENDED
04838.01*H	IL	1	ALL/ALL/ALL
04841.1*A	IL	1	ALL/MON-FRI/0800-1700
04841.1*A	IL	2	ALL/SAT-SUN/0800-1200
04841.2*H	IL	1	UNATTENDED
04846.*A	IL	1	ALL/ALL/IREG
04846.45*A	IL	1	IRREGULAR
04846.458*H	IL	1	IRREGULAR
04846.51*A	IL	1	ALL/ALL/SR-SS
04846.512*A	IL	1	UNATTENDED
04846.55*A	IL	1	UNATTENDED
04846.9*H	IL	1	ALL/ALL/IRREG
04847.1*A	IL	1	UNATTENDED
04848.11*A	IL	1	ALL/ALL/ALL
04848.12*A	IL	1	UNATTENDED
04848.13*A	IL	1	UNATTENDED
04848.14*A	IL	1	UNATTENDED
04848.15*A	IL	1	UNATTENDED
04848.21*A	IL	1	UNATTENDED
04850.*A	IL	1	ALL/ALL/ALL
04850.02*H	IL	1	ON CALL
04850.05*H	IL	1	UNATTENDED
04853.*A	IL	1	UNATTENDED
04855.5*A	IL	1	UNATTENDED
04855.52*A	IL	1	ALL/ALL/ALL
04855.61*A	IL	1	UNATTENDED
04855.9*H	IL	1	UNATTENDED
04858.1*A	IL	1	APR-OCT/M-F/0700-2000
04858.1*A	IL	2	NOV-MAR/M-F/0700-1900
04858.1*A	IL	3	ALL/SAT-SUN/0700-1700
04858.12*H	IL	1	ALL/ALL/ALL
04858.13*H	IL	1	ALL/MON-FRI/0800-1700
04859.*A	IL	1	IRREGULAR
04859.1*A	IL	1	UNATTENDED
04860.5*H	IL	1	ALL/ALL/ALL
04860.51*H	IL	1	UNATTENDED
04861.021*A	IL	1	UNATTENDED
04861.03*A	IL	1	IRREGULAR
04861.04*H	IL	1	UNATTENDED
04864.*A	IL	1	ALL/ALL/IRREG
04864.9*H	IL	1	IRREGULAR
04865.3*A	IL	1	UNATTENDED
04867.3*A	IL	1	UNATTENDED
04867.49*A	IL	1	UNATTENDED
04867.52*A	IL	1	UNATTENDED
04867.61*H	IL	1	UNATTENDED
04867.77*H	IL	1	IRREGULAR
04867.78*H	IL	1	ALL/ALL/ALL
04867.8*A	IL	1	IRREGULAR
04867.93*A	IL	1	UNATTENDED
04868.*A	IL	1	ALL/ALL/ALL
04868.02*H	IL	1	ALL/ALL/ALL
04868.1*C	IL	2	UNATTENDED
04869.*A	IL	1	UNATTENDED
04869.5*A	IL	3	ALL/ALL/0800-1700
04869.51*A	IL	1	UNATTENDED
04869.52*A	IL	1	UNATTENDED
04869.53*H	IL	1	ALL/ALL/ALL
04870.*A	IL	1	ALL/TUE-SUN/0800-1630
04870.12*H	IL	1	ALL/ALL/ALL
04872.12*A	IL	1	IRREGULAR
04872.13*H	IL	1	ALL/ALL/ALL
04876.*A	IL	1	ALL/ALL/0600-1800
04876.11*H	IL	1	UNATTENDED
04876.12*A	IL	1	UNATTENDED
04876.2*A	IL	1	ALL/ALL/0800-1800
04876.21*H	IL	1	ALL/ALL/ALL
04876.3*A	IL	1	UNATTENDED
04876.5*A	IL	1	UNATTENDED
04886.*A	IL	1	ALL/ALL/0800-1700
04886.01*H	IL	1	ALL/ALL/ALL
04888.*A	IL	1	UNATTENDED
04888.55*A	IL	1	UNATTENDED
04889.3*A	IL	2	UNATTENDED
04890.21*A	IL	1	IRREGULAR
04891.*A	IL	1	ALL/ALL/0630-2000
04891.01*H	IL	1	ALL/ALL/ALL
04891.04*H	IL	1	ALL/ALL/ALL
04891.5*A	IL	1	UNATTENDED
04891.51*A	IL	1	ALL/ALL/DALGT
04893.1*A	IL	1	ALL/ALL/0900-1700
04893.61*A	IL	1	ALL/ALL/ALL
04893.8*H	IL	1	ALL/ALL/ALL
04893.81*A	IL	1	UNATTENDED
04893.82*A	IL	1	UNATTENDED
04894.2*A	IL	1	UNATTENDED
04894.22*H	IL	1	ALL/ALL/ALL
04895.*H	IL	1	ALL/ALL/ALL
04896.*A	IL	1	ALL/ALL/ALL
04896.1*A	IL	1	UNATTENDED
04896.11*A	IL	1	UNATTENDED
04899.5*A	IL	1	UNATTENDED
04899.685*A	IL	1	NOV-APR/ALL/IREG
04899.686*A	IL	1	ALL/ALL/ALL
04899.7*A	IL	1	UNATTENDED
04899.705*A	IL	1	UNATTENDED
04899.71*A	IL	1	IRREGULAR
04899.712*A	IL	1	UNATTENDED
04899.72*A	IL	1	UNATTENDED
04899.721*A	IL	1	UNATTENDED
04899.8*A	IL	1	UNATTENDED
04899.87*G	IL	1	UNATTENDED
04900.14*H	IL	1	ALL/ALL/ALL
04900.23*A	IL	1	UNATTENDED
04900.3*A	IL	1	UNATTENDED
04900.311*H	IL	1	UNATTENDED
04904.54*H	IL	1	UNATTENDED
04904.6*A	IL	1	UNATTENDED
04908.1*H	IL	1	UNATTENDED
04913.22*H	IL	1	UNATTENDED
04918.01*H	IL	1	ALL/ALL/ALL
04921.6*A	IL	1	UNATTENDED
04922.02*H	IL	1	ALL/ALL/ALL
04922.1*A	IL	1	ALL/ALL/0800-1700
04922.3*H	IL	1	ALL/ALL/ALL
04922.933*H	IL	1	IRREGULAR
04925.02*H	IL	1	UNATTENDED
04925.03*A	IL	1	ALL/ALL/0800-DUSK
04928.8*A	IL	1	IRREGULAR
04929.*H	IL	1	ALL/ALL/ALL
04930.5*H	IL	1	UNATTENDED
04931.22*H	IL	1	UNATTENDED
04931.23*H	IL	1	UNATTENDED
04931.41*A	IL	1	ALL/MON-FRI/0800-1600
04931.41*A	IL	2	ALL/SAT/0800-1400
04931.41*A	IL	3	ALL/SUN/ON CALL
04931.61*H	IL	1	ALL/ALL/ALL
04932.12*A	IL	1	UNATTENDED
04933.14*A	IL	1	UNATTENDED
04933.51*A	IL	3	ALL/ALL/IREG
04933.52*A	IL	1	UNATTENDED
04933.7*A	IL	1	UNATTENDED
04934.71*A	IL	1	UNATTENDED
04935.01*H	IL	1	ALL/ALL/ALL
04935.02*H	IL	1	ALL/ALL/IREG
04935.03*A	IL	1	UNATTENDED
04935.04*A	IL	1	UNATTENDED
04935.05*A	IL	1	UNATTENDED
04935.7*U	IL	1	UNATTENDED
04936.1*A	IL	1	ALL/MON-FRI/0800-1700
04937.15*H	IL	1	ALL/ALL/ALL
04937.18*H	IL	1	UNATTENDED
04937.2*A	IL	1	ALL/ALL/DAWN-DUSK
04937.22*H	IL	1	ALL/ALL/ALL
04938.*A	IL	1	ALL/ALL/ALL
04938.71*H	IL	1	IRREGULAR
04939.82*A	IL	1	NOV-FEB/MON-FRI/0700-1700
04939.82*A	IL	2	MAR-OCT/MON-FRI/0700-1800
04939.82*A	IL	3	ALL/SAT-SUN/0800-1600
04939.83*H	IL	1	UNATTENDED
04940.*A	IL	1	ALL/ALL/IRREG
04941.75*H	IL	1	ALL/ALL/ALL
